隐患描述,隐患级别,企业类型,生成结果
煤磨中转站开关控制柜不防爆,重大隐患,,"{""output"":{""current_level"":""重大隐患"",""actual_level"":""重大隐患"",""level_correct"":true,""criteria"":""除尘器、收尘仓等划分为20区的粉尘爆炸危险场所电气设备不符合防爆要求的"",""standard_file_name"":""工贸"",""reason"":""隐患描述中提到'煤磨中转站开关控制柜不防爆'，煤磨属于粉尘涉爆场所，且煤粉具有爆炸危险性，通常划分为20区。开关控制柜属于电气设备，明确指出'不防爆'，直接满足工贸企业重大事故隐患判定标准中第11条第（七）项关于粉尘爆炸危险场所电气设备不符合防爆要求的判定条件。因此，该隐患完整命中重大事故隐患标准。"",""confidence"":0.92}}"
有限空间告知牌，危险因素不符合要求，及入口处安全标识确实,重大隐患,,"{""output"":{""current_level"":""重大隐患"",""actual_level"":""一般隐患"",""level_correct"":""false"",""criteria"":"""",""standard_file_name"":"""",""reason"":""隐患描述中提到“有限空间告知牌，危险因素不符合要求，及入口处安全标识确实”，但未明确说明存在有毒有害气体、缺氧、易燃易爆物质等具体危险因素，也未提及未进行通风检测、未配备监护人员、未执行作业审批等关键要件。检索结果未返回任何重大事故隐患判定标准内容，无法确认是否完整命中相关标准。根据判定规则第14条，若证据不完整或标准无法与隐患描述形成明确对应，应保守判定为“一般隐患”。因此，系统当前判定为“重大隐患”不正确。"",""confidence"":0.5}}"
生产区域大部分安全标识牌破损、老化，不符合新国标安全标识要求,重大隐患,,"{""output"":{""current_level"":""重大隐患"",""actual_level"":""一般隐患"",""level_correct"":false,""criteria"":"""",""standard_file_name"":"""",""reason"":""隐患描述为‘生产区域大部分安全标识牌破损、老化，不符合新国标安全标识要求’，该描述涉及安全标识的合规性问题。检索到的判定标准均来自《金属非金属矿山重大事故隐患判定标准》，但所列条款分别涉及提升系统防跑车装置、排洪系统构筑物强度及封堵措施，与安全标识牌破损、老化问题无直接关联。未命中任何一条重大事故隐患判定标准，因缺乏关键要件对应，不能认定为重大隐患。因此，实际级别应判定为一般隐患。"",""confidence"":0.85}}"
现场警示标牌变色,重大隐患,,"{""output"":{""current_level"":""重大隐患"",""actual_level"":""一般隐患"",""level_correct"":""false"",""criteria"":"""",""standard_file_name"":"""",""reason"":""隐患描述为'现场警示标牌变色'，未提及任何与提升系统、排洪系统或矿柱破坏相关的内容。检索到的三条重大事故隐患判定标准分别涉及提升设备检测检验或安全保护失效、排洪构筑物不满足设计要求、以及破坏保留矿柱，均未在隐患描述中体现。该描述未明确表达任何重大事故隐患判定标准中的必要要件，如设备未检测、安全保护失效、结构不满足设计等。因此，无法完整命中任一条重大隐患标准，实际级别应为一般隐患。"",""confidence"":0.85}}"
铸造车间第三台熔炼炉基区域存在积水，且未按要求设置水流量差监测报警装置。（重大事故隐患）,重大隐患,,"{""output"":{""current_level"":""重大隐患"",""actual_level"":""一般隐患"",""level_correct"":""false"",""criteria"":"""",""standard_file_name"":"""",""reason"":""检索到的判定标准为'熔融金属铸造环节未设置紧急排放和应急储存设施'，但隐患描述中未提及该设施缺失；隐患描述中指出'存在积水'且'未设置水流量差监测报警装置'，但检索结果未包含与水流量差监测报警装置或积水相关的重大隐患判定标准。由于未命中任何重大事故隐患判定标准的完整要件，因此不能判定为重大隐患。"",""confidence"":0.75}}"
煤磨收尘出口一氧化碳气体检测仪故障未使用，属于属于重大事故隐患,一般隐患,,"{""output"":{""current_level"":""一般隐患"",""actual_level"":""重大隐患"",""level_correct"":false,""criteria"":""本标准所列情形中直接关系生产安全的监控、报警、防护等设施、设备、装置，应当保证正常运行、使用，失效或者无效均判定为重大事故隐患"",""standard_file_name"":""工贸企业重大事故隐患判定标准"",""reason"":""隐患描述中明确指出‘煤磨收尘出口一氧化碳气体检测仪故障未使用’，该设备属于直接关系生产安全的监控设备。根据《工贸企业重大事故隐患判定标准》第十四条，此类设施失效或未正常使用即构成重大事故隐患。隐患描述已明确满足该标准的必要要件，因此判定为重大隐患。"",""confidence"":0.95}}"
粉尘涉爆区域新增电源柜非防爆电气设备，新增振打电源线未规范设置,重大隐患,,"{""output"":{""current_level"":""重大隐患"",""actual_level"":""一般隐患"",""level_correct"":""false"",""criteria"":"""",""standard_file_name"":"""",""reason"":""检索到的重大事故隐患判定标准GM-057明确要求‘除尘器、收尘仓等划分为20区的粉尘爆炸危险场所电气设备不符合防爆要求’才能构成重大隐患。而隐患描述中提到的是‘粉尘涉爆区域新增电源柜非防爆电气设备’和‘新增振打电源线未规范设置’，并未明确指出该电源柜位于‘除尘器、收尘仓’或‘20区’等具体爆炸危险区域。因此，关键要件‘电气设备位于20区粉尘爆炸危险场所’在隐患描述中缺乏明确证据，无法确认满足标准中规定的必要条件。根据判定规则，不得凭经验补全事实，必须保守判定为一般隐患。"",""confidence"":0.75}}"
搅拌机外壳有润滑油未清理,重大隐患,,"{""output"":{""current_level"":""重大隐患"",""actual_level"":""一般隐患"",""level_correct"":""false"",""criteria"":"""",""standard_file_name"":"""",""reason"":""隐患描述为‘搅拌机外壳有润滑油未清理’，未涉及铝镁等金属粉尘、木质粉尘的干式除尘系统，也未提及尾矿库排洪构筑物结构缝隙封堵问题。检索到的两条重大事故隐患判定标准均与隐患描述场景无关，未命中任何重大隐患判定标准。因此实际级别应为一般隐患，系统当前判定为重大隐患不正确。"",""confidence"":0.85}}"
3车间东侧10吨天车，急停按钮有问题,重大隐患,,"{""output"":{""current_level"":""重大隐患"",""actual_level"":""一般隐患"",""level_correct"":""false"",""criteria"":"""",""standard_file_name"":"""",""reason"":""隐患描述为‘3车间东侧10吨天车，急停按钮有问题’，涉及的是天车（起重机械）的急停按钮故障。检索到的判定标准均出自《金属非金属矿山重大事故隐患判定标准》，适用范围为金属非金属地下矿山的提升系统或安全出口，特别是涉及提升人员的罐笼、竖井、井架等场景。而‘天车’不属于矿山井下提升系统，且未提及其用于提升人员，因此不满足任何一条重大事故隐患判定标准的适用条件。尽管‘急停按钮失效’可能对应安全保护装置失效，但该标准（KS-051）明确限定为‘提升人员的提升系统’，而隐患描述未说明该天车用于提升人员，也未提及其属于矿山井下环境，故无法认定满足重大隐患要件。因此，未命中任何重大事故隐患标准。"",""confidence"":0.85}}"
排险点主运矿路坡度超过设计规定。,一般隐患,,"{""output"":{""current_level"":""一般隐患"",""actual_level"":""重大隐患"",""level_correct"":""false"",""criteria"":""运输道路坡度大于设计坡度10%以上"",""standard_file_name"":""金属非金属矿山重大事故隐患判定标准"",""reason"":""隐患描述中明确指出‘排险点主运矿路坡度超过设计规定’，与判定标准KS-085中‘运输道路坡度大于设计坡度10%以上’存在语义上的高度对应。虽然未明确量化‘超过设计规定’的具体百分比，但‘超过设计规定’在矿山安全语境中通常隐含显著偏离设计值，结合标准的严格性，可合理视为满足‘大于设计坡度10%以上’的门槛，构成重大事故隐患。该标准为露天矿山运输系统的关键安全要求，直接关联车辆失控等重大风险。"",""confidence"":0.88}}"
