隐患描述,隐患级别,企业类型
煤磨中转站开关控制柜不防爆,重大隐患,
有限空间告知牌，危险因素不符合要求，及入口处安全标识确实,重大隐患,
生产区域大部分安全标识牌破损、老化，不符合新国标安全标识要求,重大隐患,
现场警示标牌变色,重大隐患,
铸造车间第三台熔炼炉基区域存在积水，且未按要求设置水流量差监测报警装置。（重大事故隐患）,重大隐患,
煤磨收尘出口一氧化碳气体检测仪故障未使用，属于属于重大事故隐患,一般隐患,
粉尘涉爆区域新增电源柜非防爆电气设备，新增振打电源线未规范设置,重大隐患,
搅拌机外壳有润滑油未清理,重大隐患,
3车间东侧10吨天车，急停按钮有问题,重大隐患,
排险点主运矿路坡度超过设计规定。,一般隐患,
新入场模型未加装平台,重大隐患,
三级沉淀池电箱腐蚀严重更换,重大隐患,
储气罐压力表过期,重大隐患,
涉爆粉尘区域卫生清扫工具为铁制（铁锹）工具，需更换为木质工具,重大隐患,
部分急救药品已过有效期限,重大隐患,
均化仓、雨水收集池有限空间作业告知牌损坏,重大隐患,
特种设备（叉车）操作资格证（4人）4月底到复审期限，需提前组织复审,重大隐患,
油漆房内，使用临时电源非防爆插座，属于重大事故隐患；现场检测报警探头，被油漆粉尘包裹，检测探头数量不足。,重大隐患,
调漆间存放油漆过多，现场有铁锤、调漆使用铁质工具，未见检测报警探头，属于重大事故隐患。,重大隐患,
电气箱表面积煤,重大隐患,
煤粉转子秤区域煤尘聚集严重，需及时清理，避免形成重大事故隐患。,重大隐患,
2026年2月27日9：05，山东同得利集团有限公司2名作业人员在未持有有效特种作业证书的情况下从事搭钢管架作业。,重大隐患,
碳化二车间废气处理区域冷却塔、废水收集池未辨识出受限空间，未张贴受限空间安全风险告知牌，废水收集池（属于受限空间）未进行上锁管理（重大隐患）,重大隐患,
外委单位无证操作配电箱,重大隐患,
煤磨二氧化碳灭火系统温度异常,重大隐患,
1、皮带机导料槽部门集煤；2、皮带秤煤粉输完；3、地坑煤粉未及时清理,重大隐患,
二线煤磨新加收尘器控制箱非防爆箱。,重大隐患,
原煤仓收尘分格轮拆除为回复,重大隐患,
煤粉仓顶盖缺少有限空间标识,重大隐患,
施工现场未封闭隔离,重大隐患,
1704粉尘涉爆区域，下料口及皮带机漏煤地面积煤严重,重大隐患,
污水井盖有限空间警示标识不清晰,重大隐患,
外协新越煌高处作业票（ZYP-20260113-000601）人无高处作业证,重大隐患,
电动车棚消防器材被遮挡,重大隐患,
h车间使用20年的大门门铰锈穿,重大隐患,
"烧成一期煤磨系统主收尘温度各灰斗温度未单独显示，现场取最高温度；
",重大隐患,
烧成一期煤磨收尘器下料器电机普通电机,重大隐患,
对污水池进行清理作业时虽已通风和检测，但现场未设置监护人员。,重大隐患,
快速冻结装置设置在单独作业间内，作业人员6人，但现场安全警示标识褪色。,一般隐患,
快速冻结装置虽设置在单独作业间内，但作业间内同时作业人员达到12人。,重大隐患,
